case_id,issuer,cik,accession,filing_date,amendment_number,document_format,composite_present,gold_count,v03_instruction_count,v03_tp,v03_fp,v03_fn,v03_precision,v03_recall,v03_f1,v04_instruction_count,v04_tp,v04_fp,v04_fn,v04_precision,v04_recall,v04_f1,v04_instruction_classes,v04_unresolved_count,v02_instruction_count,text_chars,exhibit_type
DEV-011,AGCO CORP /DE  (AGCO),0000880266,0000880266-20-000014,2020-04-13,1,A,False,9,1,1,0,8,1.0,0.111,0.2,9,5,4,4,0.556,0.556,0.556,ADD_COMMITMENT;REPLACE_TEXT,0,2,59929,EX-10.1
DEV-012,Global Eagle Entertainment Inc.,0001512077,0001193125-20-105332,2020-04-13,8,A,False,1,1,1,0,0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,ADD_COMMITMENT,0,1,29172,EX-10.1
DEV-013,EQUIFAX INC  (EFX),0000033185,0001193125-20-105921,2020-04-14,1,A,False,2,0,0,0,2,1.0,0.0,0.0,2,2,0,0,1.0,1.0,1.0,ADD_COMMITMENT,0,2,25471,EX-10.1
DEV-014,"Coherus BioSciences, Inc.  (CHRS)",0001512762,0001104659-20-046138,2020-04-14,2,A,False,2,1,0,1,2,0.0,0.0,0.0,2,2,0,0,1.0,1.0,1.0,ADD_COMMITMENT;RESTATE_SECTION,0,2,6391,EX-10.1
DEV-015,Good Times Restaurants Inc.  (GTIM),0000825324,0001214659-20-003484,2020-04-20,unknown,F,False,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1.0,1.0,1.0,,0,1,14806,EX-10.1
DEV-016,BOSTON SCIENTIFIC CORP  (BSX),0000885725,0000947871-20-000397,2020-04-21,unknown,G,False,1,0,0,0,1,1.0,0.0,0.0,0,0,0,1,1.0,0.0,0.0,,0,4,226922,EX-10.1
DEV-017,APARTMENT INVESTMENT & MANAGEMENT CO  (AIV),0000922864,0001564590-20-017756,2020-04-22,2,A,False,19,0,0,0,19,1.0,0.0,0.0,0,0,0,19,1.0,0.0,0.0,,0,2,58066,EX-10.1
DEV-018,"Surgery Partners, Inc.  (SGRY)",0001638833,0001638833-20-000038,2020-04-22,3,A,False,1,1,1,0,0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,ADD_COMMITMENT,0,1,17636,EX-10.1
DEV-019,Vertex Energy Inc.  (VTNR),0000890447,0001580695-20-000175,2020-04-24,4,A,False,1,0,0,0,1,1.0,0.0,0.0,0,0,0,1,1.0,0.0,0.0,,0,0,12269,EX-10.1
DEV-020,"Unique Fabricating, Inc.  (UFABQ)",0001617669,0001617669-20-000019,2020-04-29,unknown,G,False,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1.0,1.0,1.0,,0,1,40086,EX-10.1
DEV-021,Venus Concept Inc.  (VERO),0001409269,0001193125-20-127865,2020-04-30,1,A,False,3,3,3,0,0,1.0,1.0,1.0,3,3,0,0,1.0,1.0,1.0,ADD_COMMITMENT;REPLACE_TEXT;RESTATE_SECTION,0,4,17368,EX-10.1
DEV-022,"BRINKER INTERNATIONAL, INC  (EAT)",0000703351,0001193125-20-134925,2020-05-06,6,A,False,4,0,0,0,4,1.0,0.0,0.0,4,3,1,1,0.75,0.75,0.75,REPLACE_TEXT;RESTATE_SECTION,0,5,31322,EX-10.1
DEV-023,"California Resources Corp  (CRC, CRCQW)",0001609253,0001609253-20-000094,2020-05-06,10,A,False,6,0,0,0,6,1.0,0.0,0.0,0,0,0,6,1.0,0.0,0.0,,0,0,17417,EX-10.1
DEV-024,MOHAWK INDUSTRIES INC  (MHK),0000851968,0001193125-20-135771,2020-05-07,1,A,False,5,0,0,0,5,1.0,0.0,0.0,5,4,1,1,0.8,0.8,0.8,RESTATE_SECTION,0,0,15386,EX-10.1
DEV-025,DIXIE GROUP INC  (DXYN),0000029332,0000029332-20-000043,2020-05-15,2,A,False,9,0,0,0,9,1.0,0.0,0.0,7,7,0,2,1.0,0.778,0.875,ADD_COMMITMENT;DELETE_COMMITMENT;REPLACE_TEXT,0,2,44064,EX-10.1
